method,session,macro,acc_noped,acc_ped,f1_ped,prauc,ece,brier_reliability,pos_ratio
Baseline,session_5242023,69.9489,62.5582,77.3396,28.0691,0.28704,0.37193,0.166297,0.41075
Baseline,session_6012023,73.6671,60.7534,86.5807,17.2378,0.23776,0.41187,0.199362,0.41414
Baseline,session_6072023,75.6469,71.4114,79.8823,33.0365,0.37682,0.32333,0.131936,0.33001
Baseline,session_6212023,72.5916,63.4372,81.7459,32.0085,0.38738,0.33520,0.151933,0.41082
Baseline,session_6282023,72.6423,59.3646,85.9199,32.8456,0.34908,0.38893,0.166331,0.45505
LogitKD,session_5242023,70.8578,70.3940,71.3217,30.5554,0.28720,0.31293,0.108636,0.33405
LogitKD,session_6012023,74.7197,78.9553,70.4841,23.1440,0.24748,0.34354,0.125559,0.23308
LogitKD,session_6072023,75.7366,76.6245,74.8487,35.3740,0.38308,0.30912,0.103442,0.27804
LogitKD,session_6212023,72.5578,62.7561,82.3595,31.8286,0.38964,0.34281,0.130675,0.41756
LogitKD,session_6282023,74.2567,65.3256,83.1877,35.3262,0.35176,0.33538,0.120246,0.39891
LogitKD_TFD,session_5242023,70.7550,70.0390,71.4711,30.3791,0.28300,0.31734,0.111651,0.33741
LogitKD_TFD,session_6012023,74.9111,79.7192,70.1031,23.6519,0.24577,0.30459,0.105278,0.22562
LogitKD_TFD,session_6072023,75.6616,77.8334,73.4898,35.9379,0.38265,0.30436,0.100106,0.26582
LogitKD_TFD,session_6212023,73.0572,68.0936,78.0209,33.5466,0.38596,0.30965,0.108945,0.36518
LogitKD_TFD,session_6282023,73.9010,67.2471,80.5550,35.6132,0.35077,0.33933,0.120541,0.37893
Hybrid_TFD,session_5242023,70.3545,73.9584,66.7505,31.2879,0.28672,0.29562,0.099092,0.29749
Hybrid_TFD,session_6012023,74.8305,79.2424,70.4187,23.3544,0.24871,0.32682,0.116549,0.23031
Hybrid_TFD,session_6072023,75.7885,75.8173,75.7598,35.0196,0.37471,0.31077,0.106251,0.28620
Hybrid_TFD,session_6212023,73.1937,68.6476,77.7398,33.8086,0.39615,0.31652,0.112207,0.35992
Hybrid_TFD,session_6282023,73.7632,66.6935,80.8330,35.3552,0.34682,0.33111,0.116683,0.38417
