method,session,macro_accuracy,f1_ped,precision,recall,created,run
Baseline,Session_5242023,0.6995066404342651,0.28073516488075256,0.1714993417263031,0.7732601165771484,2026-03-31T02:07:10Z,baseline_binary_v1_LOSO_Session_5242023_22:06:43
Hybrid_TFD,Session_6012023,0.7482206225395203,0.2336026430130005,0.14004220068454742,0.7038078308105469,2026-04-22T09:22:03Z,kd_hybrid_logit_cosine_tfd_LOSO_Session_6012023_05:21:38
Hybrid_TFD,Session_6072023,0.7578598856925964,0.3502109944820404,0.22775587439537048,0.757474422454834,2026-04-22T19:04:41Z,kd_hybrid_logit_cosine_tfd_LOSO_Session_6072023_15:04:18
Hybrid_TFD,Session_6212023,0.7319889068603516,0.3382081985473633,0.216128334403038,0.7772202491760254,2026-04-23T03:04:16Z,kd_hybrid_logit_cosine_tfd_LOSO_Session_6212023_23:03:53
Hybrid_TFD,Session_6282023,0.7377728819847107,0.3537229597568512,0.2263939827680588,0.8083656430244446,2026-04-23T12:01:24Z,kd_hybrid_logit_cosine_tfd_LOSO_Session_6282023_08:01:02
KD_CRD,Session_6012023,0.75604248046875,0.1968334764242172,0.11169106513261796,0.8280848264694214,2026-05-08T14:31:43Z,kd_crd_unw_LOSO_Session_6012023_10:31:20
KD_CRD,Session_6072023,0.7463886737823486,0.3194160461425781,0.20018912851810455,0.7897958159446716,2026-05-09T00:21:24Z,kd_crd_unw_LOSO_Session_6072023_20:21:02
KD_CRD,Session_6212023,0.7242854833602905,0.31301459670066833,0.19227685034275055,0.8412942886352539,2026-05-09T07:29:00Z,kd_crd_unw_LOSO_Session_6212023_03:28:38
KD_CRD,Session_6282023,0.7372430562973022,0.3472547233104706,0.21956108510494232,0.8299306035041809,2026-05-09T16:00:35Z,kd_crd_unw_LOSO_Session_6282023_12:00:12
KD_Cos,Session_5242023,0.7069110870361328,0.2883877754211426,0.1772246211767197,0.7736643552780151,2026-04-07T07:54:50Z,kd_cosine_unw_LOSO_Session_5242023_15:38:30
KD_Cos,Session_6012023,0.75407874584198,0.22916902601718905,0.13587351143360138,0.7313165664672852,2026-05-07T02:08:06Z,kd_cosine_unw_LOSO_Session_6012023_22:07:42
KD_Cos,Session_6072023,0.753402590751648,0.3244610130786896,0.20330362021923065,0.8030082583427429,2026-05-07T10:28:28Z,kd_cosine_unw_LOSO_Session_6072023_06:28:04
KD_Cos,Session_6212023,0.7303090691566467,0.3252463936805725,0.20304112136363983,0.8169440031051636,2026-05-07T19:03:15Z,kd_cosine_unw_LOSO_Session_6212023_15:02:53
KD_Cos,Session_6282023,0.7348906993865967,0.3365457057952881,0.20899522304534912,0.8636093139648438,2026-05-08T05:02:42Z,kd_cosine_unw_LOSO_Session_6282023_01:00:51
KD_RKD,Session_6012023,0.7549539804458618,0.22195743024349213,0.13024267554283142,0.7503213286399841,2026-05-09T23:10:39Z,kd_rkd_unw_LOSO_Session_6012023_19:09:41
KD_RKD,Session_6072023,0.7521515488624573,0.3185898959636688,0.19798775017261505,0.8150986433029175,2026-05-10T08:03:40Z,kd_rkd_unw_LOSO_Session_6072023_04:03:18
KD_RKD,Session_6212023,0.7326154708862305,0.329492449760437,0.206742063164711,0.8110324740409851,2026-05-10T17:13:45Z,kd_rkd_unw_LOSO_Session_6212023_13:12:38
KD_RKD,Session_6282023,0.7341330051422119,0.3346951901912689,0.2072971612215042,0.8683620095252991,2026-05-11T03:59:21Z,kd_rkd_unw_LOSO_Session_6282023_23:58:58
LogitKD,Session_5242023,0.7085933685302734,0.30561041831970215,0.19447945058345795,0.7130897641181946,2026-04-07T07:50:22Z,kd_logit_unw_LOSO_Session_5242023_00:46:22
LogitKD,Session_6212023,0.7255045175552368,0.31817466020584106,0.19716636836528775,0.8237254023551941,2026-04-25T02:50:44Z,kd_logit_unw_LOSO_Session_6212023_22:50:20
LogitKD,Session_6282023,0.7427469491958618,0.3535841405391693,0.22453005611896515,0.8315208554267883,2026-04-26T17:33:56Z,kd_logit_unw_LOSO_Session_6282023_13:33:33
LogitKD_0.3,Session_6012023,0.7541944980621338,0.2243731319904327,0.13216230273246765,0.7422420382499695,2026-04-28T18:37:25Z,kd_logit_alpha03_LOSO_Session_6012023_14:37:01
LogitKD_0.3,Session_6072023,0.7558501958847046,0.3327126204967499,0.2107031047344208,0.7904017567634583,2026-04-29T01:27:42Z,kd_logit_alpha03_LOSO_Session_6072023_21:27:19
LogitKD_0.3,Session_6212023,0.7348254919052124,0.3448600172996521,0.2223297208547592,0.7682671546936035,2026-04-29T10:41:06Z,kd_logit_alpha03_LOSO_Session_6212023_06:40:42
LogitKD_0.3,Session_6282023,0.7393078804016113,0.35350847244262695,0.2256181240081787,0.8161230683326721,2026-04-29T20:22:51Z,kd_logit_alpha03_LOSO_Session_6282023_16:22:28
LogitKD_Adj,Session_5242023,0.7011770606040955,0.2661493420600891,0.15710681676864624,0.8699576258659363,2026-06-09T08:18:07Z,kd_logit_adjustment_LOSO_Session_5242023_04:17:45
LogitKD_Adj,Session_6012023,0.7360012531280518,0.16729293763637543,0.09228206425905228,0.8938670754432678,2026-06-09T17:34:10Z,kd_logit_adjustment_LOSO_Session_6012023_13:33:46
LogitKD_Adj,Session_6072023,0.7409459352493286,0.2934839725494385,0.17707611620426178,0.8566098809242249,2026-06-10T03:15:23Z,kd_logit_adjustment_LOSO_Session_6072023_23:14:58
