method,n_folds,macro_mean,macro_std,noped_mean,noped_std,ped_mean,ped_std,f1_mean,f1_std,prauc_mean,prauc_std
baseline_binary_v1,5,0.728993324,0.018441362,0.635049708,0.041982558,0.82293694,0.035266349,0.286394804,0.059782894,0.327619149,0.056875422
kd_hybrid_logit_cosine_immune,5,0.735860833,0.018454381,0.728718335,0.046142406,0.743003331,0.050735092,0.317651499,0.04441262,0.330622315,0.055020333
kd_logit_unw,5,0.73625709,0.017234955,0.70811099,0.062493156,0.764403191,0.053809773,0.312456294,0.044754482,0.331830719,0.055629883
kd_logit_unw_immune,5,0.7365721,0.016989405,0.72586443,0.051689805,0.74727977,0.039579578,0.318257412,0.04541366,0.329629292,0.055927215
kd_logit_alpha03,5,0.737572947,0.018739351,0.702872965,0.038822866,0.772272928,0.028208121,0.309372194,0.047467919,0.326254307,0.06225299
kd_cosine_unw,5,0.735898277,0.017374882,0.674052038,0.060253469,0.797744517,0.044085748,0.300726062,0.039263285,0.327031196,0.056475425
kd_crd_unw,5,0.732159829,0.020492527,0.643951454,0.045370563,0.820368205,0.017727842,0.289506732,0.0523165,0.329154106,0.056398212
kd_rkd_unw,5,0.736951583,0.015869689,0.672703389,0.052295042,0.801199777,0.042265114,0.300099067,0.041299754,0.327094562,0.052996393
kd_logit_focal_kd,5,0.733020679,0.019836697,0.652478306,0.054046899,0.813563053,0.028506591,0.292536053,0.047556519,0.328658061,0.058240426
kd_logit_adjustment,5,0.713346307,0.020944948,0.536964806,0.061038745,0.889727809,0.025334849,0.258748169,0.046605085,0.332863122,0.055411063
kd_logit_lossnorm,5,0.736120957,0.019499007,0.685074686,0.060046335,0.787167229,0.036543165,0.304452435,0.046465712,0.324064724,0.058609458
