method,session,ece,brier_reliability,brier_resolution
Baseline,session_5242023,0.371930,0.166297,0.008124
Baseline,session_6012023,0.411867,0.199362,0.004293
Baseline,session_6072023,0.323328,0.131936,0.013520
Baseline,session_6212023,0.335205,0.151933,0.014599
Baseline,session_6282023,0.388928,0.166331,0.014184
LogitKD,session_5242023,0.312927,0.108636,0.008215
LogitKD,session_6012023,0.343537,0.125559,0.004421
LogitKD,session_6072023,0.309125,0.103442,0.013047
LogitKD,session_6212023,0.342808,0.130675,0.013172
LogitKD,session_6282023,0.335383,0.120246,0.014110
LogitKD_TFD,session_5242023,0.317340,0.111651,0.008067
LogitKD_TFD,session_6012023,0.304589,0.105278,0.004374
LogitKD_TFD,session_6072023,0.304362,0.100106,0.013065
LogitKD_TFD,session_6212023,0.309653,0.108945,0.013536
LogitKD_TFD,session_6282023,0.339331,0.120541,0.013996
Hybrid_TFD,session_5242023,0.295620,0.099092,0.008300
Hybrid_TFD,session_6012023,0.326815,0.116549,0.004389
Hybrid_TFD,session_6072023,0.310768,0.106251,0.012867
Hybrid_TFD,session_6212023,0.316520,0.112207,0.014124
Hybrid_TFD,session_6282023,0.331108,0.116683,0.013818
