method,session,macro_accuracy,f1_ped,acc_noped,acc_ped,teacher_ckpt_dir,wandb_run,logged_date
baseline_binary_v1,Session_5242023,0.699507,0.280735,0.625753,0.773260,,baseline_binary_v1_LOSO_Session_5242023_22:06:43,2026-03-31
baseline_binary_v1,Session_6072023,0.756527,0.330531,0.714445,0.798610,,baseline_binary_v1_LOSO_Session_6072023_18:31:38,2026-04-23
baseline_binary_v1,Session_6212023,0.725917,0.320102,0.634441,0.817394,,baseline_binary_v1_LOSO_Session_6212023_04:17:05,2026-04-24
kd_logit_unw,Session_5242023,0.708593,0.305610,0.704097,0.713090,Session_5242023,kd_logit_unw_LOSO_Session_5242023_00:46:22,2026-04-07
kd_logit_unw,Session_6212023,0.725505,0.318175,0.627284,0.823725,Session_6212023,kd_logit_unw_LOSO_Session_6212023_22:50:20,2026-04-25
kd_logit_unw,Session_6282023,0.742747,0.353584,0.653973,0.831521,Session_6282023,kd_logit_unw_LOSO_Session_6282023_13:33:33,2026-04-26
kd_logit_alpha03,Session_6012023,0.754194,0.224373,0.766147,0.742242,Session_6012023,kd_logit_alpha03_LOSO_Session_6012023_14:37:01,2026-04-28
kd_logit_alpha03,Session_6072023,0.755850,0.332713,0.721299,0.790402,Session_6072023,kd_logit_alpha03_LOSO_Session_6072023_21:27:19,2026-04-29
kd_logit_alpha03,Session_6212023,0.734825,0.344860,0.701384,0.768267,Session_6212023,kd_logit_alpha03_LOSO_Session_6212023_06:40:42,2026-04-29
kd_logit_alpha03,Session_6282023,0.739308,0.353508,0.662493,0.816123,Session_6282023,kd_logit_alpha03_LOSO_Session_6282023_16:22:28,2026-04-29
kd_logit_lossnorm,Session_5242023,0.703484,0.285184,0.635357,0.771610,Session_5242023,kd_logit_lossnorm_LOSO_Session_5242023_11:36:52,2026-06-07
kd_logit_lossnorm,Session_6012023,0.755433,0.221533,0.757974,0.752892,Session_6012023,kd_logit_lossnorm_LOSO_Session_6012023_20:41:16,2026-06-08
kd_logit_lossnorm,Session_6072023,0.756931,0.344284,0.746974,0.766889,Session_6072023,kd_logit_lossnorm_LOSO_Session_6072023_03:45:52,2026-06-08
kd_logit_lossnorm,Session_6212023,0.733769,0.337329,0.679501,0.788037,Session_6212023,kd_logit_lossnorm_LOSO_Session_6212023_11:05:30,2026-06-08
kd_logit_lossnorm,Session_6282023,0.731221,0.334083,0.605798,0.856645,Session_6282023,kd_logit_lossnorm_LOSO_Session_6282023_21:25:59,2026-06-09
kd_logit_adjustment,Session_5242023,0.701177,0.266149,0.532396,0.869958,Session_5242023,kd_logit_adjustment_LOSO_Session_5242023_04:17:45,2026-06-09
kd_logit_adjustment,Session_6012023,0.736001,0.167293,0.578135,0.893867,Session_6012023,kd_logit_adjustment_LOSO_Session_6012023_13:33:46,2026-06-09
kd_logit_adjustment,Session_6072023,0.740946,0.293484,0.625282,0.856610,Session_6072023,kd_logit_adjustment_LOSO_Session_6072023_23:14:58,2026-06-10
kd_logit_adjustment,Session_6212023,0.699495,0.281219,0.501729,0.897261,Session_6212023,kd_logit_adjustment_LOSO_Session_6212023_07:42:18,2026-06-10
kd_logit_adjustment,Session_6282023,0.689323,0.285837,0.448108,0.930539,Session_6282023,kd_logit_adjustment_LOSO_Session_6282023_18:11:08,2026-06-10
kd_logit_focal_kd,Session_5242023,0.701448,0.278253,0.606467,0.796429,Session_5242023,kd_logit_focal_kd_LOSO_Session_5242023_04:10:03,2026-06-11
kd_logit_focal_kd,Session_6012023,0.754226,0.205104,0.714692,0.793759,Session_6012023,kd_logit_focal_kd_LOSO_Session_6012023_13:36:11,2026-06-11
kd_logit_focal_kd,Session_6072023,0.754182,0.327694,0.711202,0.797162,Session_6072023,kd_logit_focal_kd_LOSO_Session_6072023_20:56:15,2026-06-12
kd_logit_focal_kd,Session_6212023,0.730739,0.327286,0.650594,0.810885,Session_6212023,kd_logit_focal_kd_LOSO_Session_6212023_07:09:56,2026-06-12
